Province_State,Country_Region,Total Cases
Indiana,US,14246
Indiana,US,22957
Indiana,US,6543
Indiana,US,31801
Indiana,US,134438
Indiana,US,14516
Indiana,US,39768
Indiana,US,268696
Indiana,US,14072
Indiana,US,2619
Indiana,US,10908
Indiana,US,34476
Indiana,US,12319
Indiana,US,19602
Indiana,US,3119
Indiana,US,15737
Indiana,US,1769
Indiana,US,5941
Indiana,US,0
Indiana,US,6907
Indiana,US,4345
Indiana,US,5883
Indiana,US,4497
Indiana,US,47697
Indiana,US,7909
Indiana,US,3538
Indiana,US,11196
Indiana,US,7013
Indiana,US,10091
Indiana,US,6084
Indiana,US,9473
Indiana,US,17143
Indiana,US,6156
Indiana,US,84866
Indiana,US,5626
Indiana,US,11487
Indiana,US,6403
Indiana,US,2663
Indiana,US,60936
Indiana,US,3996
Indiana,US,0
Indiana,US,2347
Indiana,US,70796
Indiana,US,4932
Indiana,US,35132
Indiana,US,10451
Indiana,US,2380
Indiana,US,24854
Indiana,US,7179
Indiana,US,23519
Indiana,US,7610
Indiana,US,8268
Indiana,US,11448
Iowa,US,1805
Iowa,US,938
Iowa,US,3248
Iowa,US,3432
Iowa,US,1311
Iowa,US,7244
Iowa,US,38980
Iowa,US,6535
Iowa,US,6386
Iowa,US,5539
Iowa,US,6988
Iowa,US,3817
Iowa,US,3072
Iowa,US,5680
Iowa,US,3333
Iowa,US,5035
Iowa,US,12769
Iowa,US,3581
Iowa,US,3163
Iowa,US,2701
Iowa,US,4843
Iowa,US,4033
Iowa,US,13865
Iowa,US,5064
Iowa,US,26870
Iowa,US,1825
Iowa,US,1847
Iowa,US,4777
Iowa,US,11291
Iowa,US,4742
Iowa,US,31008
Iowa,US,2698
Iowa,US,4959
Iowa,US,4184
Iowa,US,2960
Iowa,US,1641
Iowa,US,2051
Iowa,US,3055
Iowa,US,2773
Iowa,US,3998
Iowa,US,3287
Iowa,US,5070
Iowa,US,3846
Iowa,US,6516
Iowa,US,2312
Iowa,US,3073
Iowa,US,2148
Iowa,US,4332
Iowa,US,5537
Iowa,US,10453
Iowa,US,4424
Iowa,US,44987
Iowa,US,6467
Iowa,US,2479
Iowa,US,4362
Iowa,US,9232
Iowa,US,64756
Iowa,US,2949
Iowa,US,2186
Iowa,US,3164
Iowa,US,3704
Iowa,US,5800
Iowa,US,8910
Iowa,US,11469
Iowa,US,4004
Iowa,US,2839
Iowa,US,2091
Iowa,US,2200
Iowa,US,2596
Iowa,US,11265
Iowa,US,3887
Iowa,US,1575
Iowa,US,0
Iowa,US,3845
Iowa,US,2416
Iowa,US,7174
Iowa,US,1942
Iowa,US,147524
Iowa,US,27969
Iowa,US,4672
Iowa,US,1318
Iowa,US,2888
Iowa,US,49015
Iowa,US,3178
Iowa,US,8987
Iowa,US,23335
Iowa,US,4671
Iowa,US,1535
Iowa,US,0
Iowa,US,3186
Iowa,US,1699
Iowa,US,10439
Iowa,US,14506
Iowa,US,6822
